date,all time high,all time high year,lowest high,lowest high year,highest low,highest low year,all time low,all time low year
07-19,99.0,2019,65.0,1988,69.0,1998,50.0,1988
07-20,102.0,2017,71.0,1990,68.0,2006,51.0,1961
07-21,104.0,2005,64.0,1961,68.0,2002,51.0,1961
07-22,101.0,2005,72.0,1990,68.0,2018,49.0,1961
07-23,102.0,2005,65.0,1991,70.0,1982,49.0,1961
07-24,100.0,2005,69.0,1991,68.0,1952,50.0,2004
07-25,101.0,2017,58.0,2004,72.0,2003,50.0,2004
07-26,98.0,2003,69.0,1971,67.0,1953,51.0,1971
07-27,98.0,1995,65.0,1963,66.0,1987,51.0,1958
07-28,98.0,1995,68.0,1952,67.0,1999,52.0,1971
07-29,99.0,1995,58.0,1971,67.0,1954,47.0,1971
07-30,100.0,1972,69.0,2009,68.0,1980,43.0,1971
07-31,99.0,2019,61.0,2009,70.0,1966,50.0,1968
08-01,102.0,2002,73.0,1956,70.0,1980,46.0,1995
08-02,102.0,2008,63.0,1976,67.0,2011,53.0,1973
08-03,100.0,2008,59.0,1978,68.0,2008,51.0,1978
08-04,98.0,2016,69.0,2017,70.0,1960,50.0,1978
08-05,97.0,1987,61.0,2005,67.0,2001,48.0,1978
08-06,100.0,1980,65.0,1997,66.0,2001,51.0,1962
08-07,99.0,2003,69.0,1954,67.0,2012,50.0,1971
08-08,100.0,1969,66.0,1966,71.0,1995,50.0,1974
08-09,97.0,2000,63.0,1960,65.0,2019,49.0,1974
08-10,100.0,1962,58.0,1968,68.0,2006,44.0,2003
08-11,97.0,2016,70.0,1977,67.0,1995,50.0,1977
08-12,98.0,1996,66.0,1992,67.0,2006,50.0,1976
08-13,96.0,1996,69.0,1979,66.0,1972,49.0,2004
08-14,100.0,1962,60.0,2005,68.0,1958,49.0,1976
08-15,98.0,1960,71.0,1970,67.0,1960,44.0,1978
08-16,97.0,2015,53.0,2008,66.0,2000,47.0,1978
08-17,102.0,2002,59.0,2008,67.0,1962,44.0,1960
08-18,98.0,1986,65.0,1978,64.0,1993,47.0,1960
08-19,99.0,2020,63.0,1950,64.0,2020,48.0,1960
