"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-19",,"58","25","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-20",,"70","33","50"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-21",,"51","31","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-22",,"41","30","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-23",,"42","28","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-24",,"42","28","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-25",,"54","28","41"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-26",,"49","35","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-27",,"52","31","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-28",,"66","35","46"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-29",,"75","32","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-30",,"40","24","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-03-31",,"53","24","37"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-01",,"70","27","47"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-02",,"72","42","48"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-03",,"73","40","48"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-04",,"77","38","55"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-05",,"79","48","53"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-06",,"57","36","36"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-07",,"62","34","52"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-08",,"70","43","57"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-09",,"59","34","36"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-10",,"69","28","51"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-11",,"54","37","37"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-12",,"45","29","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-13",,"47","32","33"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-14",,"48","29","35"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-15",,"40","29","29"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-16",,"34","27","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-17",,"45","29","34"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-18",,"57","30","42"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-19",,"43","20","20"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-20",,"34","16","32"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-21",,"35","27","31"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-22",,"50","26","42"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-23",,"57","35","38"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-24",,"68","31","50"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-25",,"78","40","59"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-26",,"77","49","55"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-27",,"57","39","39"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-28",,"58","36","45"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-29",,"68","37","54"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-04-30",,"78","47","60"
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-01",,"84","54",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-02",,"68","47",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-03",,"47","37",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-04",,"58","37",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-05",,"58","41",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-06",,"72","39",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-07",,"83","44",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-08",,"73","47",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-09",,"47","37",
"USW00023062","DENVER CENTRAL PARK, CO US","2021-05-10",,"46","33",
