"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-21",,,"1.07","0.0","0.0",,"57","49","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-22",,,"0.03","0.0","0.0",,"59","49","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-23",,,"0.03","0.0","0.0",,"63","47","47"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-24",,,"0.00","0.0","0.0",,"65","46","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-25",,,"0.14","0.0","0.0",,"63","52","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-26",,,"0.00","0.0","0.0",,"69","53","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-27",,,"0.00","0.0","0.0",,"70","52","59"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-28",,,"0.88","0.0","0.0",,"69","50","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-02-29",,,"0.00","0.0","0.0",,"64","46","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-01",,,"0.00","0.0","0.0",,"67","47","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-02",,,"0.16","0.0","0.0",,"60","50","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-03",,,"0.30","0.0","0.0",,"59","47","47"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-04",,,"0.17","0.0","0.0",,"60","46","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-05",,,"0.85","0.0","0.0",,"65","46","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-06",,,"0.75","0.0","0.0",,"60","42","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-07",,,"0.00","0.0","0.0",,"56","43","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-08",,,"0.00","0.0","0.0",,"63","45","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-09",,,"0.00","0.0","0.0",,"66","46","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-10",,,"0.00","0.0","0.0",,"71","46","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-11",,,"0.00","0.0","0.0",,"70","46","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-12",,,"0.00","0.0","0.0",,"59","40","40"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-13",,,"0.00","0.0","0.0",,"60","40","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-14",,,"0.00","0.0","0.0",,"61","44","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-15",,,"0.06","0.0","0.0",,"62","42","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-16",,,"0.00","0.0","0.0",,"58","39","40"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-17",,,"0.00","0.0","0.0",,"64","40","45"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-18",,,"0.00","0.0","0.0",,"60","42","45"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-19",,,"0.00","0.0","0.0",,"65","45","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-20",,,"0.00","0.0","0.0",,"73","48","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-21",,,"0.04","0.0","0.0",,"59","41","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-22",,,"0.00","0.0","0.0",,"63","44","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-23",,,"0.00","0.0","0.0",,"73","46","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-24",,,"0.00","0.0","0.0",,"74","42","42"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-25",,,"0.08","0.0","0.0",,"67","44","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-26",,,"0.14","0.0","0.0",,"62","40","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-27",,,"0.00","0.0","0.0",,"60","42","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-28",,,"0.00","0.0","0.0",,"66","43","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-29",,,"0.00","0.0","0.0",,"74","44","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-30",,,"0.00","0.0","0.0",,"75","45","47"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-03-31",,,"0.00","0.0","0.0",,"69","47","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-01",,,"0.00","0.0","0.0",,"65","47","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-02",,,"0.00","0.0","0.0",,"63","40","41"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-03",,,"0.00","0.0","0.0",,"62","42","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-04",,,"0.00","0.0","0.0",,"59","46","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-05",,,"1.48","0.0","0.0",,"58","48","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-06",,,"0.06","0.0","0.0",,"60","50","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-07",,,"0.00","0.0","0.0",,"62","40","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-08",,,"0.00","0.0","0.0",,"67","42","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-09",,,"0.00","0.0","0.0",,"70","45","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-10",,,"0.00","0.0","0.0",,"63","43","43"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-11",,,"0.00","0.0","0.0",,"74","44","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-12",,,"0.00","0.0","0.0",,"80","44","60"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-13",,,"0.00","0.0","0.0",,"81","51","62"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-14",,,"0.00","0.0","0.0",,"78","49","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-15",,,"0.00","0.0","0.0",,"65","46","46"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-16",,,"0.00","0.0","0.0",,"74","47","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-17",,,"0.00","0.0","0.0",,"79","50","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-18",,,"0.00","0.0","0.0",,"67","50","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-19",,,"0.00","0.0","0.0",,"69","52","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-20",,,"0.00","0.0","0.0",,"69","55","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-21",,,"0.21","0.0","0.0",,"67","44","47"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-22",,,"0.07","0.0","0.0",,"66","43","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-23",,,"0.37","0.0","0.0",,"56","44","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-24",,,"0.00","0.0","0.0",,"63","47","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-25",,,"0.00","0.0","0.0",,"63","48","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-26",,,"0.00","0.0","0.0",,"61","46","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-27",,,"0.00","0.0","0.0",,"66","43","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-28",,,"0.00","0.0","0.0",,"71","50","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-29",,,"0.00","0.0","0.0",,"60","52","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-04-30",,,"0.00","0.0","0.0",,"66","47","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-01",,,"0.00","0.0","0.0",,"73","48","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-02",,,"0.00","0.0","0.0",,"66","48","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-03",,,"0.00","0.0","0.0",,"66","50","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-04",,,"0.00","0.0","0.0",,"67","50","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-05",,,"0.00","0.0","0.0",,"69","50","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-06",,,"0.00","0.0","0.0",,"67","47","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-07",,,"0.00","0.0","0.0",,"68","48","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-08",,,"0.00","0.0","0.0",,"71","47","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-09",,,"0.00","0.0","0.0",,"69","49","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-10",,,"0.35","0.0","0.0",,"60","48","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-11",,,"0.00","0.0","0.0",,"59","47","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-12",,,"0.01","0.0","0.0",,"57","50","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-13",,,"0.00","0.0","0.0",,"60","49","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-14",,,"0.00","0.0","0.0",,"58","49","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-15",,,"0.00","0.0","0.0",,"64","49","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-16",,,"0.00","0.0","0.0",,"65","50","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-17",,,"0.00","0.0","0.0",,"69","48","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-18",,,"0.00","0.0","0.0",,"77","48","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-19",,,"0.00","0.0","0.0",,"72","49","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-20",,,"0.00","0.0","0.0",,"82","49","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-21",,,"0.00","0.0","0.0",,"75","52","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-22",,,"0.00","0.0","0.0",,"65","48","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-23",,,"0.00","0.0","0.0",,"64","48","48"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-24",,,"0.00","0.0","0.0",,"60","43","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-25",,,"0.00","0.0","0.0",,"63","44","47"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-26",,,"0.00","0.0","0.0",,"65","47","47"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-27",,,"0.00","0.0","0.0",,"67","47","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-28",,,"0.00","0.0","0.0",,"63","50","51"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-29",,,"0.00","0.0","0.0",,"62","51","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-30",,,"0.00","0.0","0.0",,"66","51","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-05-31",,,"0.00","0.0","0.0",,"60","52","53"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-01",,,"0.00","0.0","0.0",,,,
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-02",,,"0.00","0.0","0.0",,"62","50",
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-03",,,"0.00","0.0","0.0",,"68","49",
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-04",,,"0.00","0.0","0.0",,"60","52","56"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-05",,,"0.05","0.0","0.0",,"62","42","44"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-06",,,"0.00","0.0","0.0",,"64","44","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-07",,,"0.00","0.0","0.0",,"64","50","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-08",,,"0.00","0.0","0.0",,"68","50","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-09",,,"0.00","0.0","0.0",,"71","51","55"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-10",,,"0.00","0.0","0.0",,"72","52","52"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-11",,,"0.00","0.0","0.0",,"65","52","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-12",,,"0.00","0.0","0.0",,"64","53","54"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-13",,,"0.00","0.0","0.0",,"66","48","49"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-14",,,"0.00","0.0","0.0",,"67","48","50"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","1980-06-15",,,"0.00","0.0","0.0",,"73","50","54"
